Property_id,Price,Category,Square_foot,Address,City,State,Zip Code,Property_link,Latitude,Longitude
179,3850000,office,17500,18 S Second St, San Jose, CA ,95113,https://www.crexi.com/properties/1422392/california-the-globe,37.3361512,-121.8888574
180,4195000,office,14400,215 Gateway Rd. W., Napa, CA ,94558,https://www.crexi.com/properties/1187989/california-215-gateway-rd-w,38.2236635,-122.2641968
181,8250000,Services,43333,2615 Marina Blvd, San Leandro, CA ,94577,https://www.crexi.com/properties/1573523/california-the-newport-apartments,37.7024525,-122.1870159
182,658900,retail,1198,959 Story Rd Bldg H 2nd floor(5215), San Jose, CA ,95122,https://www.crexi.com/properties/1532591/california-959-story-rd-bldg-h-2nd-floor5215,37.3324894,-121.8588518
183,3645000,retail,12700,2710-2726 Park Blvd, Oakland, CA ,94606,https://www.crexi.com/properties/1282129/california-2710-2726-park-blvd,37.8022011,-122.2412891
184,3424323,retail,21304,2150 W Alpine Ave, Stockton, CA ,95204,https://www.crexi.com/properties/1654807/california-dollar-general-market,37.9714836,-121.3315443
185,677600,retail,1232,959 Story Rd Bldg H 2nd floor(5205), San Jose, CA ,95122,https://www.crexi.com/properties/1532587/california-959-story-rd-bldg-h-2nd-floor5205,37.3324894,-121.8588518
186,6950000,office,19000,1550 Leigh Ave, San Jose, CA ,95125,https://www.crexi.com/properties/1636551/california-1550-leigh-ave,37.294839,-121.9222242
187,480000,restaurant,2500,1133 E Harding Way, Stockton,CA,95205,https://www.crexi.com/properties/1410521/two-parcels-mixed-use-with-spacious-lot,37.9701943,-121.2796725
188,2350000,office,23123,4545 Georgetown Pl, Stockton, CA ,95207,https://www.crexi.com/properties/274295/california-georgetown-plaza,37.9889766,-121.3135456
189,879000,office,1640,2040 Jefferson St, Napa, CA ,94559,https://www.crexi.com/properties/1518246/california-2040-jefferson-st,38.3061491,-122.2948003
190,7000000,office,36024,7655 Redwood Blvd, Novato, CA ,94945,https://www.crexi.com/properties/1506707/california-7655-7665-redwood-boulevard,38.1196604,-122.5675246
191,2599000,mixed use,217800,1625 Buchanan Rd, Pittsburg, CA ,94565,https://www.crexi.com/properties/1653497/california-1625-buchanan-rd,37.9982237,-121.8656198
192,995000,office,2830,1719 Jefferson St, Oakland, CA ,94612,https://www.crexi.com/properties/1633088/california-jefferson-suites,37.8079801,-122.2735529
193,3200000,restaurant,5429,540 Sutter St, San Francisco, CA ,94102,https://www.crexi.com/properties/1168977/california-540-sutter-street,37.7892747,-122.4094307
194,4651851,retail,11777,909 N Amphlett Blvd, San Mateo, CA ,94401,https://www.crexi.com/properties/1614523/california-909-n-amphlett-blvd-san-mateo,37.5844489,-122.3294212
195,3250000,restaurant,15975,1255 26th St, Oakland, CA ,94607,https://www.crexi.com/properties/1523743/california-the-noodle-factory,37.8190807,-122.2852975
196,870650,retail,1583,959 Story Rd Bldg H 2nd Floor (5275), San Jose, CA ,95122,https://www.crexi.com/properties/1532613/california-959-story-rd-bldg-h-2nd-floor-5275,37.3324894,-121.8588518
197,559000,office,1270,5890 Stoneridge Drive, Pleasanton, CA ,94588,https://www.crexi.com/properties/1629932/california-willow-ridge-office-condominiums,37.6960028,-121.9323791
198,319000,office,3728,3545 Alhambra Way, Martinez, CA ,94553,https://www.crexi.com/properties/1115268/california-3545-alhambra-way,37.998975,-122.1315545
199,10027374,mixed use,50965,Lathrop Road & North Main Street, Manteca,CA,95336,https://www.crexi.com/properties/138857/california-hwy-99--lathrop-road---manteca-ca,37.8267309,-121.21873
200,1900000,restaurant,5604,16549 E 14th St, San Leandro, CA ,94578,https://www.crexi.com/properties/1614315/california-16549-e-14th-street,37.6930708,-122.1116963
201,3500000,mixed use,9583,Cleo Ave, Cupertino, CA ,95014,https://www.crexi.com/properties/1663195/california-00-cleo-ave-cupertino-ca,37.3023039,-122.0348368
202,2295000,restaurant,2650,249 Grand Ave, South San Francisco, CA ,94080,https://www.crexi.com/properties/1420303/california-249-grand-avenue-south-san-francisco,37.6548823,-122.4098047
203,2075000,retail,4730,2798 Aiello Dr, San Jose, CA ,95111,https://www.crexi.com/properties/1639627/california-2798-aiello-drive-suites-c-d,37.2943485,-121.8461645
